filename	ann_id	label	start_span	end_span	text
caso_clinico_medtropical140	T1	FAC_GEN	469	478	albergues
caso_clinico_medtropical140	T2	GEO_NOM	642	657	bahía de Halong
caso_clinico_medtropical140	T3	TRANSPORTE	629	634	barco
caso_clinico_medtropical140	T4	TRANSPORTE	542	551	bicicleta
caso_clinico_medtropical140	T5	TRANSPORTE	701	710	bicicleta
caso_clinico_medtropical140	T6	TRANSPORTE	960	969	bicicleta
caso_clinico_medtropical140	T7	GPE_GEN	867	873	ciudad
caso_clinico_medtropical140	T8	GEO_GEN	559	564	costa
caso_clinico_medtropical140	T9	GPE_NOM	765	772	Da Nang
caso_clinico_medtropical140	T10	TRANSPORTE	941	956	desplazamientos
caso_clinico_medtropical140	T11	GPE_NOM	35	41	España
caso_clinico_medtropical140	T12	GPE_NOM	886	892	España
caso_clinico_medtropical140	T13	GPE_NOM	606	611	Hanoi
caso_clinico_medtropical140	T14	GPE_NOM	670	675	Hanoi
caso_clinico_medtropical140	T15	GPE_NOM	808	818	HoChi Minh
caso_clinico_medtropical140	T16	GPE_NOM	743	746	Hué
caso_clinico_medtropical140	T17	GPE_NOM	239	248	Marruecos
caso_clinico_medtropical140	T18	GPE_NOM	251	257	Méjico
caso_clinico_medtropical140	T19	GPE_NOM	783	792	Nha Trang
caso_clinico_medtropical140	T20	GPE_GEN	569	573	país
caso_clinico_medtropical140	T21	FAC_GEN	457	466	pensiones
caso_clinico_medtropical140	T22	GPE_NOM	774	781	Qui Nho
caso_clinico_medtropical140	T23	TRANSPORTE	529	538	recorrido
caso_clinico_medtropical140	T24	TRANSPORTE	578	587	recorrido
caso_clinico_medtropical140	T25	GPE_NOM	228	237	Tailandia
caso_clinico_medtropical140	T26	TRANSPORTE	617	625	travesía
caso_clinico_medtropical140	T27	GEO_NOM	837	853	túneles de Cuchi
caso_clinico_medtropical140	T28	TRANSPORTE	1044	1053	vehículos
caso_clinico_medtropical140	T29	TRANSPORTE	388	403	viaje turístico
caso_clinico_medtropical140	T30	TRANSPORTE	208	214	viajes
caso_clinico_medtropical140	T31	GPE_NOM	406	413	Vietnam
caso_clinico_medtropical140	T32	FAC_GEN	1003	1008	calle
caso_clinico_medtropical140	T33	DEPARTAMENTO	335	343	consulta
casos_clinicos_infecciosas181	T1	GPE_NOM	344	352	Benidorm
casos_clinicos_infecciosas181	T2	DEPARTAMENTO	3703	3727	Enfermedades Infecciosas
casos_clinicos_infecciosas181	T3	DEPARTAMENTO	14667	14701	Unidad de Columna de Traumatología
casos_clinicos_infecciosas181	T4	DEPARTAMENTO	931	940	Urgencias
casos_clinicos_infecciosas181	T5	TRANSPORTE	336	341	viaje
casos_clinicos_infecciosas181	T13	FAC_GEN	4311	4322	laboratorio
caso_clinico_medicina_interna710	T1	DEPARTAMENTO	1979	1981	AP
caso_clinico_medicina_interna710	T2	GPE_NOM	66	72	España
caso_clinico_medicina_interna710	T3	GPE_GEN	569	579	extranjero
caso_clinico_medicina_interna710	T4	DEPARTAMENTO	1244	1260	Medicina Interna
caso_clinico_medicina_interna710	T5	GPE_NOM	45	52	Rumanía
caso_clinico_medicina_interna710	T6	DEPARTAMENTO	165	174	Urgencias
caso_clinico_medicina_interna710	T7	DEPARTAMENTO	596	605	Urgencias
caso_clinico_medicina_interna710	T8	TRANSPORTE	531	537	viajes
caso_clinico_psiquiatria44	T1	DEPARTAMENTO	455	487	consulta de otorrinolaringología
caso_clinico_psiquiatria44	T2	DEPARTAMENTO	241	279	Consulta de Otorrinolaringología (ORL)
caso_clinico_psiquiatria44	T3	DEPARTAMENTO	1503	1526	consulta de psiquiatría
caso_clinico_psiquiatria44	T4	DEPARTAMENTO	285	306	Consulta Psiquiátrica
